Date,Close,High,Low,Open,Volume,SMA_short,SMA_long,Signal,Return,Strategy_Return
2024-01-17,181.3519287109375,181.6001112377356,178.98924135636386,179.95219077216925,47317400,180.38552627563476,178.45619689941407,1,5.822765126817231e-05,5.822765126817231e-05
2024-02-23,181.42430114746094,183.9291621764045,181.1360335803032,183.89934348562096,45119700,180.49893035888672,178.5704818725586,1,0.0003990717773880714,0.0003990717773880714
2023-06-13,181.4928436279297,182.32451307330234,180.63147278147434,180.98790470199526,54929100,180.61556091308594,178.68177490234376,1,0.0003778020917553082,0.0003778020917553082
2024-02-27,181.53366088867188,182.8159102315647,178.482083088638,180.0128468267154,54318900,180.73393630981445,178.79309112548827,1,0.00022489735642605702,0.00022489735642605702
2024-05-08,181.64300537109375,181.97102617972277,180.36074083125402,181.75234564063675,45057100,180.83775177001954,178.9052066040039,1,0.0006023372298371577,0.0006023372298371577
2023-06-12,181.9680633544922,182.0670780867689,179.17602617310777,179.4730552624109,54274900,180.9529067993164,179.02362426757813,1,0.0017895430805845436,0.0017895430805845436
2023-06-14,182.12649536132812,182.56213604593384,180.21563475820471,181.5522431050323,57462900,181.06608963012695,179.14500854492186,1,0.0008706583117681355,0.0008706583117681355
2023-06-21,182.1363983154297,183.5720213426237,180.77996894802234,183.06706733943585,49515700,181.16928634643554,179.26362091064453,1,5.4374044160532264e-05,5.4374044160532264e-05
2024-05-10,182.19790649414062,184.22840362497325,181.2821909106075,184.03928564367934,50759500,181.2698844909668,179.3822735595703,1,0.0003377039366092571,0.0003377039366092571
2024-05-03,182.27915954589844,185.8774235329829,181.56348055207545,185.52951854505613,163224100,181.37080612182618,179.49938446044922,1,0.00044596040273625626,0.00044596040273625626
2024-01-16,182.2950439453125,182.9204536449405,179.61466039771227,180.83572939974707,65603000,181.46901321411133,179.6164108276367,1,8.714325572722892e-05,8.714325572722892e-05
2023-08-29,182.5409698486328,183.31427930675537,177.9605961154563,178.1588778766287,53003900,181.57255859375,179.73419219970702,1,0.0013490542474323686,0.0013490542474323686
2024-02-15,182.7562713623047,183.3824942652778,180.26134459364147,182.44813474883824,65434500,181.68099517822264,179.85211517333985,1,0.001179469539634992,0.001179469539634992
2024-01-03,182.91050720214844,184.5286619910614,182.09646131024977,182.88072651321147,58414500,181.79556121826172,179.96878356933593,1,0.0008439428025863727,0.0008439428025863727
2024-02-14,183.0445098876953,184.41623036442274,181.34478380471282,184.20749952407863,54630500,181.90550384521484,180.0881085205078,1,0.0007326133834333337,0.0007326133834333337
2024-01-31,183.05941772460938,185.73980101543498,183.00979333970113,185.68022448739953,55467800,181.99769592285156,180.2055514526367,1,8.14437806586632e-05,8.14437806586632e-05
2023-06-16,183.08688354492188,185.1363708565112,182.4433330473612,184.87893857146415,101256200,182.09076385498048,180.32096527099608,1,0.00015003773449029367,0.00015003773449029367
2023-06-20,183.17596435546875,184.2551705135613,182.58192130455032,182.58192130455032,49799100,182.18431091308594,180.43581481933595,1,0.00048654938476255793,0.00048654938476255793
2024-02-22,183.26319885253906,183.84966853541172,181.36467634977905,182.37854224114136,52292200,182.2813949584961,180.55197937011718,1,0.0004762333168397692,0.0004762333168397692
2023-06-26,183.4334259033203,186.18586660248252,183.39381396241686,184.9779592329188,48088700,182.3859977722168,180.66996215820313,1,0.0009288665255604567,0.0009288665255604567
2023-11-13,183.45652770996094,184.67758150620577,182.87082057942214,184.46911666550656,43627500,182.49122772216796,180.78714477539063,1,0.0001259410956693241,0.0001259410956693241
2024-05-09,183.46200561523438,183.55146169147778,181.01676669426374,181.46406224266897,48983000,182.59311294555664,180.9025262451172,1,2.9859418696265294e-05,2.9859418696265294e-05
2024-01-09,183.79405212402344,183.80397397190293,181.40156892129536,182.58292017691045,42841800,182.70817337036132,181.02241058349608,1,0.0018098925043119607,0.0018098925043119607
2024-02-13,183.92918395996094,185.09217370700773,182.4083698811328,184.6548126341336,56529500,182.82794952392578,181.14455871582032,1,0.0007352350871849822,0.0007352350871849822
2023-06-15,184.16607666015625,184.67103069686027,181.95818688950908,182.13641040467775,65433200,182.9541030883789,181.26946105957032,1,0.0012879560225032005,0.0012879560225032005
2024-01-08,184.2109832763672,184.2507009606552,180.18050174905395,180.76620883550703,59144500,183.06624908447264,181.39332763671874,1,0.00024383761127633186,0.00024383761127633186
2024-01-11,184.2407989501953,185.6901917447606,182.28511919375845,185.18388963502795,49128400,183.171964263916,181.51298248291016,1,0.00016185611355967744,0.00016185611355967744
2024-01-02,184.2904052734375,187.07005243391947,182.55312769161858,185.78942219080653,82488700,183.2796646118164,181.63269500732423,1,0.00026924722170584836,0.00026924722170584836
2024-02-02,184.49888610839844,185.96812234304272,177.94686171013706,178.55242764739413,102551700,183.39471359252929,181.7510430908203,1,0.0011312625562442946,0.0011312625562442946
2024-01-12,184.56837463378906,185.382420570264,183.84368591687618,184.7073562390581,40477800,183.50917434692383,181.86951721191406,1,0.00037663384780439735,0.00037663384780439735
2023-06-23,184.82943725585938,185.70071866604846,183.17599374881706,183.71064919871634,53117000,183.63589401245116,181.99050567626952,1,0.0014144493745924525,0.0014144493745924525
2024-01-10,184.83641052246094,185.04487535026095,182.5829090664718,183.00979086506445,46792900,183.75066604614258,182.1041094970703,1,3.772811682534183e-05,3.772811682534183e-05
2023-11-10,185.0448760986328,185.21365353801235,182.1957456895483,182.63254933718324,66133400,183.86509628295897,182.22180236816405,1,0.001127838262940939,0.001127838262940939
2023-06-22,185.14627075195312,185.19577812392734,181.84927919785179,181.91859254012144,51245300,183.9768844604492,182.3414047241211,1,0.0005479462898840826,0.0005479462898840826
2024-05-13,185.41287231445312,186.22906253508128,183.76059590764,184.57678612826817,72044800,184.0953025817871,182.4583282470703,1,0.0014399510258413795,0.0014399510258413795
2024-02-01,185.50155639648438,185.59089847447947,182.48366340616798,182.6524257138898,64885400,184.21740951538087,182.57506011962892,1,0.000478305960768699,0.000478305960768699
2024-05-23,186.0100860595703,190.11090276702717,185.76124979940406,190.09099161364105,51005900,184.3635696411133,182.69800506591798,1,0.002741376800090123,0.002741376800090123
2024-02-12,186.02650451660156,187.537383976275,185.66866504371018,187.28888476363343,41781900,184.50609664916993,182.81708587646483,1,8.826648801174564e-05,8.826648801174564e-05
