Date,Signal,Return,Strategy_Return
2020-05-12,1,0.0010045380509071666,0.0
2020-02-21,1,0.0025523754734166904,0.0025523754734166904
2020-05-19,1,0.002995072943430488,0.002995072943430488
2020-01-16,1,0.0016114518975838266,0.0016114518975838266
2020-05-18,1,0.0041938567729418175,0.0041938567729418175
2020-01-21,1,2.5147263673419573e-05,2.5147263673419573e-05
2020-05-11,1,0.0001337162140788717,0.0001337162140788717
2020-01-13,1,0.001098022531761611,0.001098022531761611
2020-01-28,1,0.0023029693923437566,0.0023029693923437566
2020-01-22,1,3.1620789177289055e-05,3.1620789177289055e-05
2020-01-24,1,0.001919957585731602,0.001919957585731602
2020-05-26,1,9.805184481370688e-05,9.805184481370688e-05
2020-05-21,1,0.00037857400154206466,0.00037857400154206466
2020-01-17,1,0.0008426655609676814,0.0008426655609676814
2020-02-04,1,0.0003764272121788981,0.0003764272121788981
2020-01-23,1,0.0011917691148213283,0.0011917691148213283
2020-05-29,1,0.0010249937978870083,0.0010249937978870083
2020-05-27,1,0.0005348077287130604,0.0005348077287130604
2020-02-18,1,9.05031471085671e-05,9.05031471085671e-05
2020-05-28,1,0.0003495318318480489,0.0003495318318480489
2020-02-11,1,0.0015620727125738032,0.0015620727125738032
2020-05-22,1,0.00044816005891057387,0.00044816005891057387
2020-02-07,1,0.0008655618449457947,0.0008655618449457947
2020-05-20,1,0.00020049645522068893,0.00020049645522068893
2020-02-20,1,0.0006430156498646866,0.0006430156498646866
2020-02-05,1,0.0012146573574094433,0.0012146573574094433
2020-02-10,1,0.0026848262601952833,0.0026848262601952833
2020-06-01,1,0.0036427432060590625,0.0036427432060590625
2020-01-30,1,0.0011832785947762936,0.0011832785947762936
2020-06-04,1,0.0002763279959665521,0.0002763279959665521
2020-01-29,1,0.0011744352247877732,0.0011744352247877732
2020-02-19,1,0.0001482392546507949,0.0001482392546507949
2020-06-02,1,0.001839374534751581,0.001839374534751581
2020-02-06,1,0.0006932620604462869,0.0006932620604462869
2020-02-13,1,0.0013254356987382199,0.0013254356987382199
